,Jugador 1,Jugador 2,Resultado
727,Piedra,Piedra,Empate
728,Papel,Papel,Empate
729,Piedra,Papel,Gana Jugador 2
730,Piedra,Papel,Gana Jugador 2
731,Piedra,Tijera,Gana Jugador 1
732,Piedra,Papel,Gana Jugador 2
733,Tijera,Tijera,Empate
734,Tijera,Piedra,Gana Jugador 2
735,Tijera,Piedra,Gana Jugador 2
736,Piedra,Papel,Gana Jugador 2
737,Piedra,Tijera,Gana Jugador 1
738,Tijera,Papel,Gana Jugador 1
739,Papel,Papel,Empate
740,Papel,Papel,Empate
741,Papel,Tijera,Gana Jugador 2
742,Piedra,Tijera,Gana Jugador 1
743,Papel,Tijera,Gana Jugador 2
744,Papel,Tijera,Gana Jugador 2
745,Tijera,Piedra,Gana Jugador 2
746,Piedra,Papel,Gana Jugador 2
747,Papel,Papel,Empate
748,Papel,Papel,Empate
749,Tijera,Papel,Gana Jugador 1
750,Papel,Papel,Empate
751,Piedra,Papel,Gana Jugador 2
752,Papel,Tijera,Gana Jugador 2
753,Papel,Piedra,Gana Jugador 1
754,Papel,Papel,Empate
755,Tijera,Papel,Gana Jugador 1
756,Tijera,Tijera,Empate
757,Tijera,Tijera,Empate
758,Piedra,Tijera,Gana Jugador 1
759,Tijera,Piedra,Gana Jugador 2
760,Papel,Tijera,Gana Jugador 2
761,Piedra,Piedra,Empate
762,Tijera,Papel,Gana Jugador 1
763,Papel,Tijera,Gana Jugador 2
764,Tijera,Piedra,Gana Jugador 2
765,Piedra,Papel,Gana Jugador 2
766,Piedra,Tijera,Gana Jugador 1
767,Piedra,Piedra,Empate
768,Papel,Piedra,Gana Jugador 1
769,Piedra,Piedra,Empate
770,Papel,Piedra,Gana Jugador 1
771,Tijera,Papel,Gana Jugador 1
772,Piedra,Tijera,Gana Jugador 1
773,Piedra,Papel,Gana Jugador 2
774,Tijera,Papel,Gana Jugador 1
775,Piedra,Tijera,Gana Jugador 1
776,Tijera,Tijera,Empate
777,Papel,Piedra,Gana Jugador 1
778,Piedra,Tijera,Gana Jugador 1
779,Tijera,Papel,Gana Jugador 1
780,Papel,Piedra,Gana Jugador 1
781,Tijera,Tijera,Empate
782,Papel,Piedra,Gana Jugador 1
783,Piedra,Piedra,Empate
784,Tijera,Papel,Gana Jugador 1
785,Piedra,Tijera,Gana Jugador 1
786,Tijera,Piedra,Gana Jugador 2
787,Piedra,Papel,Gana Jugador 2
788,Piedra,Papel,Gana Jugador 2
789,Piedra,Papel,Gana Jugador 2
790,Piedra,Papel,Gana Jugador 2
791,Piedra,Papel,Gana Jugador 2
792,Papel,Papel,Empate
793,Piedra,Papel,Gana Jugador 2
794,Piedra,Piedra,Empate
795,Papel,Papel,Empate
796,Piedra,Piedra,Empate
797,Papel,Papel,Empate
798,Tijera,Tijera,Empate
799,Piedra,Piedra,Empate
800,Piedra,Piedra,Empate
801,Tijera,Piedra,Gana Jugador 2
802,Tijera,Piedra,Gana Jugador 2
803,Papel,Piedra,Gana Jugador 1
804,Tijera,Tijera,Empate
805,Tijera,Piedra,Gana Jugador 2
806,Papel,Tijera,Gana Jugador 2
807,Papel,Piedra,Gana Jugador 1
808,Piedra,Piedra,Empate
809,Tijera,Papel,Gana Jugador 1
810,Tijera,Papel,Gana Jugador 1
811,Papel,Papel,Empate
812,Piedra,Tijera,Gana Jugador 1
813,Papel,Papel,Empate
814,Piedra,Piedra,Empate
815,Piedra,Tijera,Gana Jugador 1
816,Papel,Tijera,Gana Jugador 2
817,Papel,Papel,Empate
818,Piedra,Piedra,Empate
819,Papel,Piedra,Gana Jugador 1
820,Tijera,Papel,Gana Jugador 1
821,Tijera,Papel,Gana Jugador 1
822,Piedra,Piedra,Empate
823,Piedra,Tijera,Gana Jugador 1
824,Papel,Tijera,Gana Jugador 2
825,Tijera,Piedra,Gana Jugador 2
826,Papel,Papel,Empate
827,Piedra,Papel,Gana Jugador 2
828,Tijera,Tijera,Empate
829,Piedra,Piedra,Empate
830,Tijera,Tijera,Empate
831,Piedra,Tijera,Gana Jugador 1
832,Papel,Tijera,Gana Jugador 2
833,Papel,Tijera,Gana Jugador 2
834,Papel,Tijera,Gana Jugador 2
835,Piedra,Tijera,Gana Jugador 1
836,Piedra,Papel,Gana Jugador 2
837,Papel,Papel,Empate
838,Papel,Piedra,Gana Jugador 1
839,Tijera,Papel,Gana Jugador 1
840,Papel,Piedra,Gana Jugador 1
841,Papel,Papel,Empate
842,Tijera,Piedra,Gana Jugador 2
843,Tijera,Piedra,Gana Jugador 2
844,Papel,Piedra,Gana Jugador 1
845,Papel,Piedra,Gana Jugador 1
846,Piedra,Papel,Gana Jugador 2
847,Piedra,Papel,Gana Jugador 2
848,Papel,Tijera,Gana Jugador 2
849,Piedra,Papel,Gana Jugador 2
850,Piedra,Piedra,Empate
851,Piedra,Tijera,Gana Jugador 1
852,Piedra,Papel,Gana Jugador 2
853,Papel,Piedra,Gana Jugador 1
854,Piedra,Piedra,Empate
855,Piedra,Piedra,Empate
856,Piedra,Tijera,Gana Jugador 1
857,Tijera,Papel,Gana Jugador 1
858,Tijera,Papel,Gana Jugador 1
859,Tijera,Tijera,Empate
860,Piedra,Papel,Gana Jugador 2
861,Papel,Tijera,Gana Jugador 2
862,Papel,Papel,Empate
863,Papel,Piedra,Gana Jugador 1
864,Tijera,Tijera,Empate
865,Tijera,Tijera,Empate
866,Tijera,Piedra,Gana Jugador 2
867,Papel,Tijera,Gana Jugador 2
868,Papel,Papel,Empate
869,Tijera,Papel,Gana Jugador 1
870,Piedra,Tijera,Gana Jugador 1
871,Piedra,Tijera,Gana Jugador 1
872,Papel,Tijera,Gana Jugador 2
873,Tijera,Piedra,Gana Jugador 2
874,Papel,Papel,Empate
875,Piedra,Papel,Gana Jugador 2
876,Papel,Piedra,Gana Jugador 1
877,Tijera,Papel,Gana Jugador 1
878,Papel,Piedra,Gana Jugador 1
879,Tijera,Piedra,Gana Jugador 2
880,Piedra,Papel,Gana Jugador 2
881,Papel,Piedra,Gana Jugador 1
882,Tijera,Piedra,Gana Jugador 2
883,Papel,Tijera,Gana Jugador 2
884,Tijera,Piedra,Gana Jugador 2
885,Piedra,Tijera,Gana Jugador 1
886,Papel,Tijera,Gana Jugador 2
887,Piedra,Tijera,Gana Jugador 1
888,Tijera,Tijera,Empate
889,Piedra,Tijera,Gana Jugador 1
890,Piedra,Papel,Gana Jugador 2
891,Papel,Tijera,Gana Jugador 2
892,Papel,Papel,Empate
893,Piedra,Piedra,Empate
894,Papel,Papel,Empate
895,Tijera,Piedra,Gana Jugador 2
896,Piedra,Piedra,Empate
897,Papel,Papel,Empate
898,Tijera,Piedra,Gana Jugador 2
899,Papel,Tijera,Gana Jugador 2
900,Tijera,Tijera,Empate
901,Tijera,Tijera,Empate
902,Piedra,Piedra,Empate
903,Papel,Papel,Empate
904,Piedra,Tijera,Gana Jugador 1
905,Tijera,Tijera,Empate
906,Papel,Tijera,Gana Jugador 2
907,Papel,Papel,Empate
908,Piedra,Papel,Gana Jugador 2
909,Tijera,Piedra,Gana Jugador 2
910,Tijera,Papel,Gana Jugador 1
911,Papel,Papel,Empate
912,Papel,Tijera,Gana Jugador 2
913,Tijera,Tijera,Empate
914,Piedra,Tijera,Gana Jugador 1
915,Tijera,Tijera,Empate
916,Piedra,Tijera,Gana Jugador 1
917,Papel,Tijera,Gana Jugador 2
918,Papel,Piedra,Gana Jugador 1
919,Tijera,Piedra,Gana Jugador 2
920,Tijera,Papel,Gana Jugador 1
921,Piedra,Papel,Gana Jugador 2
922,Tijera,Tijera,Empate
923,Tijera,Piedra,Gana Jugador 2
924,Papel,Piedra,Gana Jugador 1
925,Tijera,Papel,Gana Jugador 1
926,Papel,Tijera,Gana Jugador 2
927,Papel,Papel,Empate
928,Papel,Piedra,Gana Jugador 1
929,Papel,Papel,Empate
930,Papel,Papel,Empate
931,Papel,Tijera,Gana Jugador 2
932,Piedra,Piedra,Empate
933,Piedra,Tijera,Gana Jugador 1
934,Piedra,Papel,Gana Jugador 2
935,Piedra,Tijera,Gana Jugador 1
936,Tijera,Tijera,Empate
937,Tijera,Piedra,Gana Jugador 2
938,Piedra,Papel,Gana Jugador 2
939,Papel,Papel,Empate
940,Tijera,Piedra,Gana Jugador 2
941,Papel,Tijera,Gana Jugador 2
942,Tijera,Tijera,Empate
943,Piedra,Papel,Gana Jugador 2
944,Papel,Piedra,Gana Jugador 1
945,Piedra,Papel,Gana Jugador 2
946,Piedra,Papel,Gana Jugador 2
947,Papel,Piedra,Gana Jugador 1
948,Piedra,Papel,Gana Jugador 2
949,Tijera,Tijera,Empate
950,Papel,Piedra,Gana Jugador 1
951,Piedra,Tijera,Gana Jugador 1
952,Piedra,Papel,Gana Jugador 2
953,Tijera,Papel,Gana Jugador 1
954,Papel,Piedra,Gana Jugador 1
955,Tijera,Piedra,Gana Jugador 2
956,Piedra,Papel,Gana Jugador 2
957,Piedra,Papel,Gana Jugador 2
958,Tijera,Papel,Gana Jugador 1
959,Piedra,Tijera,Gana Jugador 1
960,Piedra,Piedra,Empate
961,Tijera,Tijera,Empate
962,Tijera,Piedra,Gana Jugador 2
963,Piedra,Piedra,Empate
964,Piedra,Tijera,Gana Jugador 1
965,Piedra,Piedra,Empate
966,Piedra,Piedra,Empate
967,Papel,Papel,Empate
968,Tijera,Tijera,Empate
969,Piedra,Tijera,Gana Jugador 1
970,Papel,Piedra,Gana Jugador 1
971,Papel,Papel,Empate
972,Tijera,Papel,Gana Jugador 1
973,Tijera,Papel,Gana Jugador 1
974,Tijera,Papel,Gana Jugador 1
975,Tijera,Papel,Gana Jugador 1
976,Piedra,Tijera,Gana Jugador 1
977,Tijera,Papel,Gana Jugador 1
978,Papel,Papel,Empate
979,Piedra,Piedra,Empate
980,Papel,Tijera,Gana Jugador 2
981,Papel,Tijera,Gana Jugador 2
982,Tijera,Papel,Gana Jugador 1
983,Tijera,Piedra,Gana Jugador 2
984,Papel,Tijera,Gana Jugador 2
985,Papel,Piedra,Gana Jugador 1
986,Tijera,Piedra,Gana Jugador 2
987,Tijera,Papel,Gana Jugador 1
988,Tijera,Piedra,Gana Jugador 2
989,Papel,Papel,Empate
990,Papel,Papel,Empate
991,Tijera,Papel,Gana Jugador 1
992,Tijera,Piedra,Gana Jugador 2
993,Piedra,Piedra,Empate
994,Piedra,Papel,Gana Jugador 2
995,Piedra,Piedra,Empate
996,Piedra,Papel,Gana Jugador 2
997,Piedra,Papel,Gana Jugador 2
998,Piedra,Piedra,Empate
999,Tijera,Papel,Gana Jugador 1
1000,Tijera,Papel,Gana Jugador 1
